excluded_voivodeship,eval_rmse,test_rmse
dolnośląskie,0.15496605176505518,0.15128839917980808
kujawsko-pomorskie,0.11729027143372564,0.15042383014222574
lubelskie,0.13061221231984052,0.1548052050173897
lubuskie,0.1228174263516981,0.15141146125082316
łódzkie,0.13445358975127983,0.1520848117726249
małopolskie,0.15249298429207128,0.15010717997154946
mazowieckie,0.14519233220617117,0.15033117745464358
opolskie,0.14792118684255992,0.15095925682081443
podkarpackie,0.14198831876518303,0.14810313614326281
podlaskie,0.15362628214206597,0.14697816288149998
pomorskie,0.1337698202206875,0.14982918321251082
śląskie,0.14219389513138653,0.14760386313596033
świętokrzyskie,0.12287064644845169,0.14885826563441462
warmińsko-mazurskie,0.12391070057492458,0.15283513575600505
zachodniopomorskie,0.1565672732771945,0.1459615241727613
