Voivodeship,SAR_in_sample_rmse,SAR_out_of_sample_rmse,SDM_in_sample_rmse,SDM_out_of_sample_rmse
Dolnośląskie,0.13502105479756085,2.7869916944584303,0.12460508172585291,2.8292039686799186
Kujawsko-Pomorskie,0.13545451909957276,2.36559165548317,0.12486455060074583,2.466984901229121
Lubelskie,0.13382798825549513,3.2011142206993366,0.1231731422799538,3.237537210368645
Lubuskie,0.1347582685093347,1.6801940148288765,0.12439192155447969,1.8147476512727656
Łódzkie,0.13526671155755798,2.8661818171128015,0.12511069046015666,2.88560776534808
Małopolskie,0.13261913051415145,3.7503475660846366,0.12275510455340592,3.456032439426284
Mazowieckie,0.13424230286663252,4.675285436633388,0.1246820750309374,4.335397199211572
Opolskie,0.1353505613028506,2.1196444958784437,0.12478430522223287,2.0820518129310677
Podkarpackie,0.13326911914707554,3.266947908906778,0.12337252955259166,3.218314183754395
Podlaskie,0.13357257922536872,2.6370987998820055,0.12383167998458317,2.629875748246406
Pomorskie,0.13467160884101637,2.887488008518653,0.12483512246928674,2.8424555613113447
Śląskie,0.13400024514682024,2.7951648985490185,0.12455357419788603,2.4805118344656223
Świętokrzyskie,0.13434320545037187,1.92164894207967,0.12372209826722458,2.0297971689430776
Warmińsko-Mazurskie,0.13468822327350227,2.5837503232400323,0.12410004789880284,2.7303583824476054
Wielkopolskie,0.13396119524862926,3.6146346180610682,0.12278878733040159,3.56667798949035
Zachodniopomorskie,0.1324409161623623,2.511845891552384,0.12228981597486768,2.6688324118367306
